"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::Extracellular Vesicle (GO:1903561)",0.00468042603855169,531,1634,6.5779159667359e-06,"GO_Cellular_Component_2026",0.201674162962616,0.00250149117202696,"GC-driven"
"GO_Cellular_Component_2026::Focal Adhesion (GO:0005925)",0.00474002340402259,113,303,0.000203420047909649,"GO_Cellular_Component_2026",0.201674162962616,0.0113505434623506,"GC-driven"
"GO_Biological_Process_2026::Carbohydrate Catabolic Process (GO:0016052)",0.0049894237314546,20,34,0.00015150737481825,"GO_Biological_Process_2026",1,0.0658289286230533,"n.s."
"GO_Cellular_Component_2026::Extracellular Exosome (GO:0070062)",0.00506583445987174,525,1619,9.80976930206649e-06,"GO_Cellular_Component_2026",0.201674162962616,0.00250149117202696,"GC-driven"
"GO_Cellular_Component_2026::TORC1 Complex (GO:0031931)",0.00514071395787061,6,6,0.000469481901457325,"GO_Cellular_Component_2026",0.201674162962616,0.0159623846495491,"GC-driven"
"GO_Molecular_Function_2026::Mitogen-activated Protein Kinase Kinase Binding (GO:0031434)",0.00515873289630572,7,7,0.000130792580688779,"GO_Molecular_Function_2026",1,0.0673540970090967,"n.s."
"GO_Biological_Process_2026::Glycolytic Process Through Glucose-6-Phosphate (GO:0061620)",0.00519690346250702,15,21,4.20472847377212e-05,"GO_Biological_Process_2026",1,0.0319408454361017,"GC-driven"
"GO_Biological_Process_2026::Positive Regulation of Protein Localization to Endosome (GO:1905668)",0.00523358486315562,8,12,0.00582895331375039,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Antibacterial Humoral Response (GO:0019731)",0.00583358646605443,13,25,0.00917921091330233,"GO_Biological_Process_2026",1,0.429254595386634,"n.s."
"GO_Biological_Process_2026::ADP Catabolic Process (GO:0046032)",0.00633748270947803,16,25,0.000177346835825703,"GO_Biological_Process_2026",1,0.0658289286230533,"n.s."
"GO_Biological_Process_2026::Glycolytic Process (GO:0006096)",0.00633748270947803,16,25,0.000177346835825703,"GO_Biological_Process_2026",1,0.0658289286230533,"n.s."
"GO_Biological_Process_2026::Extrinsic Apoptotic Signaling Pathway in Absence of Ligand (GO:0097192)",0.00652543670224938,9,14,0.00485712850285626,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
