gene_id	gene_name	tenx	parse
ENSG00000000003.17	TSPAN6	13.0	13.0
ENSG00000000005.6	TNMD	0.0	1.0
ENSG00000000419.15	DPM1	1211.0	4030.0
ENSG00000000457.15	SCYL3	377.0	752.0
ENSG00000000460.18	FIRRM	336.0	692.0
ENSG00000000938.14	FGR	1589.0	2398.0
ENSG00000000971.18	CFH	1.0	1.0
ENSG00000001036.15	FUCA2	85.0	216.0
ENSG00000001084.14	GCLC	397.0	1755.0
ENSG00000001167.16	NFYA	58.0	2254.0
ENSG00000001460.19	STPG1	92.0	128.0
ENSG00000001461.20	NIPAL3	1201.0	1465.0
ENSG00000001497.19	LAS1L	667.0	1098.0
ENSG00000001561.8	ENPP4	234.0	379.0
ENSG00000001617.13	SEMA3F	13.0	38.0
ENSG00000001626.19	CFTR	10.0	10.0
ENSG00000001629.11	ANKIB1	3160.0	4843.0
ENSG00000001630.19	CYP51A1	56.0	444.0
ENSG00000001631.18	KRIT1	126.0	80.0
ENSG00000002016.19	RAD52	709.0	354.0
ENSG00000002330.15	BAD	589.0	414.0
ENSG00000002549.14	LAP3	1445.0	3759.0
ENSG00000002587.11	HS3ST1	13.0	13.0
ENSG00000002745.13	WNT16	47.0	14.0
ENSG00000002746.16	HECW1	8.0	14.0
ENSG00000002822.17	MAD1L1	6.0	57.0
ENSG00000002834.20	LASP1	1235.0	3380.0
ENSG00000002919.16	SNX11	962.0	329.0
ENSG00000002933.10	TMEM176A	363.0	75.0
ENSG00000003056.9	M6PR	638.0	1472.0
ENSG00000003096.16	KLHL13	54.0	108.0
ENSG00000003147.20	ICA1	298.0	154.0
ENSG00000003249.16	DBNDD1	24.0	11.0
ENSG00000003393.17	ALS2	564.0	1116.0
ENSG00000003400.17	CASP10	1650.0	2337.0
ENSG00000003402.22	CFLAR	5562.0	12697.0
ENSG00000003436.17	TFPI	2.0	36.0
ENSG00000003509.17	NDUFAF7	691.0	1281.0
ENSG00000003756.18	RBM5	2245.0	6475.0
