Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,U12-type Spliceosomal Complex (GO:0005689),7.25543149241648e-07,3.700270061132405e-05,2.07384409762223e-06,9.615095361703067e-05,6.9817868675995705,16,26,GC-robust,LSM7;PDCD7;PHF5A;SF3B5;SF3B6;SNRNP25;SNRNP35;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;YBX1;ZCRB1
GO_Cellular_Component_2026,Mitochondrial Intermembrane Space (GO:0005758),8.11274494660024e-07,3.7613635661510205e-05,1.46231396441638e-06,7.457801218523538e-05,3.7078403286044126,28,61,GC-robust,ARL2;BLOC1S1;CHCHD10;CHCHD2;CHCHD5;CMC1;CMC4;COA4;COA6;CYCS;HAX1;NME4;PPOX;PRELID1;PRELID3B;REXO2;SOD1;STAR;STMP1;STOML2;TIMM10;TIMM13;TIMM29;TIMM8A;TIMM8B;TIMM9;TRIAP1;UQCC2
GO_Biological_Process_2026,Spliceosomal tri-snRNP Complex Assembly (GO:0000244),5.75410735752104e-08,4.273863239798752e-05,1.15713201939827e-07,0.0001375135691852904,6.005954947186893,22,38,GC-robust,CD2BP2;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;SRSF10;SRSF12;TSSC4;TXNL4B;USP39
GO_Cellular_Component_2026,U2-type Spliceosomal Complex (GO:0005684),1.15880628626699e-06,4.924926716634708e-05,5.30186228506597e-06,0.00020799613579874189,2.8109189189189188,36,92,GC-robust,BCAS2;CCDC12;CWC15;CWC25;ISY1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8;MAGOHB;MFAP1;PHF5A;PPIE;PRPF31;RBM8A;RBMX2;RNF113A;SF3B5;SF3B6;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN;SNU13;SYF2;TXNL4A;WBP4;ZMAT2
GO_Cellular_Component_2026,U4 snRNP (GO:0005687),1.35300741731428e-06,5.30795217561756e-05,2.63080279748175e-06,0.00011180911889297438,39.23086844368014,9,10,GC-robust,PRPF31;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN
GO_Molecular_Function_2026,"2 Iron, 2 Sulfur Cluster Binding (GO:0051537)",1.6947267621547e-07,0.00023471965655842597,6.05676466739017e-07,0.0008388619064335387,23.983548387096775,11,13,GC-robust,CIAPIN1;CISD1;CISD2;CISD3;FDX1;FXN;ISCA1;ISCA2;ISCU;NFU1;SLC25A39
GO_Cellular_Component_2026,U6 snRNP (GO:0005688),3.89548668798204e-05,0.0014190701506220289,5.8989163282259e-05,0.0019686586040672197,30.49978513107005,7,8,GC-robust,LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8
GO_Cellular_Component_2026,U1 snRNP (GO:0005685),4.93851900367132e-05,0.001679096461248249,9.59359398006978e-05,0.0025751225946503095,6.850752688172043,11,18,GC-robust,SNRPA;SNRPB;SNRPB2;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN
GO_Cellular_Component_2026,Cytoplasmic Side of Lysosomal Membrane (GO:0098574),6.57142486843802e-05,0.002094641676814619,2.82991035349169e-05,0.0010308959144862586,10.898193936787788,10,14,GC-robust,BLOC1S1;BLOC1S2;BORCS6;BORCS7;BORCS8;EEF1A1;KXD1;LITAF;LITAFD;SNAPIN
GO_Cellular_Component_2026,U5 snRNP (GO:0005682),7.98231666174557e-05,0.002394694998523671,9.59359398006978e-05,0.0025751225946503095,6.850752688172043,11,18,GC-robust,CD2BP2;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPG;SNRPN;TSSC4;TXNL4A;TXNL4B
GO_Cellular_Component_2026,Cytoplasmic Vesicle Lumen (GO:0060205),0.0001109013173799,0.0031422039924305003,7.92375749436724e-05,0.002377127248310172,2.3069014829235464,38,110,GC-robust,A1BG;APRT;ARPC5;C1ORF35;CCT8;CFD;CSNK2B;CSTB;DYNLT1;EEF1A1;EPX;GHDC;GMFG;GSTP1;GZMB;HMGB1;HSP90AA1;HSP90AB1;HSPA6;HSPA8;MIF;POMC;PPIA;PPIE;PRDX4;PRF1;PSMA5;PSMB1;PSMC3;PSMD6;PSMD7;S100A11;S100A8;S100A9;S100P;SERPINB1;SRP14;XRCC6
GO_Cellular_Component_2026,Secretory Granule Lumen (GO:0034774),0.0001239533142323,0.0032768552742637497,6.17618385589716e-05,0.0019686586040672197,1.7666456511608783,77,268,GC-robust,A1BG;AGA;APRT;ARG1;ARPC5;C1ORF35;C6ORF120;CAMP;CCT2;CCT8;CFD;CNN2;CSNK2B;CSTB;CTSD;CTSW;DPP7;DYNLT1;EEF1A1;EPX;FABP5;FOLR3;FTL;GHDC;GMFG;GRN;GSDMD;GSTP1;GUSB;HEBP2;HMGB1;HSP90AA1;HSP90AB1;HSPA6;HSPA8;ILF2;LGALS3BP;MAGED2;MIF;NAPRT;NIT2;NPC2;ORM2;PA2G4;PLAC8;POMC;PPIA;PPIE;PRDX4;PRDX6;PRSS2;PRSS57;PSMA5;PSMB1;PSMC3;PSMD6;PSMD7;PTGES2;RETN;RNASET2;S100A11;S100A8;S100A9;S100P;SERPINB1;SERPINE1;SRGN;SRP14;TEX264;TIMP1;TMSB4X;TRAPPC1;TUBB;TUBB4B;VAT1;VEGFB;XRCC6
GO_Cellular_Component_2026,Mitochondrial Matrix (GO:0005759),0.0001285041284025,0.0032768552742637497,0.0003494978463532,0.0074268292350055005,1.566456668395607,94,357,GC-robust,ACAA2;ACADM;ACAT1;ADPRS;ALAS2;ALKBH7;AMT;ARL2;AURKAIP1;BLOC1S1;BOLA3;C1QBP;CLPP;CMC1;COQ5;CSKMT;DARS2;DNAJC15;DNAJC19;ECH1;ECHS1;ECI1;ERAL1;ETFB;ETFBKMT;ETHE1;FAHD1;FASTK;FDX1;FDX2;FLAD1;FXN;GADD45GIP1;GLRX5;GRPEL1;GSTK1;GSTZ1;HAGH;HSD17B8;HSPE1;HYKK;IDH2;IDH3B;IDH3G;ISCA1;ISCA2;ISCU;LIAS;LIPT1;LIPT2;MALSU1;MCAT;MDH2;MMAB;MPST;MRM1;MTG1;MTHFS;NAXE;NFU1;NIPSNAP1;NME4;NUDT1;NUDT13;NUDT2;OAT;PIN4;POLDIP2;PRDX3;PRDX5;PTCD1;PUSL1;RBFA;REXO2;RIDA;RNASEH1;RPUSD3;SARS2;SHMT2;SIRT3;SIRT4;SLIRP;SMDT1;SOD1;SSBP1;STAR;TEFM;TFAM;TFB2M;TRMT10C;TST;TXN2;UQCC2;YRDC
GO_Cellular_Component_2026,U7 snRNP (GO:0005683),0.0001363365319542,0.0033110300617448575,0.0002734541580354,0.006339164572638818,26.137056928034372,6,7,GC-robust,LSM10;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Cellular_Component_2026,COPI-coated Vesicle (GO:0030137),0.0001467852871497,0.0033563077198454348,0.0002734541580354,0.006339164572638818,26.137056928034372,6,7,GC-robust,KDELR1;KDELR2;KDELR3;TMED10;TMED2;VMA22
GO_Cellular_Component_2026,Oligosaccharyltransferase Complex A (GO:0160226),0.0001513628971695,0.0033563077198454348,0.0002215848670669,0.005650414110205951,15.24914052428019,7,9,GC-robust,DAD1;DDOST;KRTCAP2;OST4;OSTC;RPN2;TMEM258
GO_Cellular_Component_2026,Nucleolus (GO:0005730),0.000182627817461,0.00388084112104625,0.001248392340503,0.021222669788551002,1.3772411895751133,145,607,GC-robust,ABHD14B;ABT1;AK6;ALKBH2;ANAPC11;ANG;ANP32B;APEX1;ARL2;ARL4A;BRIX1;BUD23;C1D;CAPG;CASP6;CCDC137;CENPV;CERKL;CIAPIN1;COIL;CSTB;CUTC;DDX24;DDX28;DDX50;DEDD;DEK;DKC1;DNAJB9;DNAJC21;DOLK;EBNA1BP2;EDF1;EEF1A1;EID3;ENDOV;EXOSC1;EXOSC4;EXOSC5;EXOSC6;EXOSC8;FAM32A;FAU;FBL;FEN1;FRG1;FSAF1;GET3;GRWD1;GTF2H5;H1-10;H1-2;HDHD3;HINFP;HIRIP3;HMGB2;HMGN2;IFI35;ILF2;IMP3;IMP4;ISG20;KNOP1;KRR1;LLPH;LSM6;LYAR;MAD2L1BP;MAGED2;MAGEH1;MCRS1;MEAF6;METTL18;METTL5;MIF4GD;MRTO4;MYC;NGDN;NIFK;NIP7;NLE1;NOL12;NOL7;NOP16;NOP53;NPM1;NPM2;NPM3;NSA2;NSUN5;NUCKS1;NUSAP1;P3H4;PA2G4;PAK1IP1;PARP1;PDCD2;PIH1D1;PIM1;PIN4;POP4;POP5;POP7;PPP1CC;PSIP1;PWP1;PYM1;RAC1;RAD51;RAN;RBIS;RBM7;RBMX2;RGCC;RIOX1;RRP36;RRP9;RRS1;RSL1D1;RSL24D1;SAP30L;SBDS;SFR1;SIRT6;SIRT7;SLBP;SLX9;SNRNP35;SNU13;SRP19;STAG3;SUB1;SUMO1;TAF13;TRMT10A;TUT1;UBE2I;UBE2M;UPF3A;UTP11;UTP3;WDR46;XRCC6;ZNF404;ZNF771
GO_Cellular_Component_2026,U2 snRNP (GO:0005686),0.0002148541273263,0.00438302419745652,0.0003476080795718,0.0074268292350055005,5.327837514934289,11,20,GC-robust,PHF5A;RBMX2;SF3B5;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPG;SNRPN
GO_Cellular_Component_2026,Nuclear Lumen (GO:0031981),0.0002685851588868,0.005268401193548769,0.0018599432940236,0.027899149410354,1.3555828279889182,148,627,GC-robust,ABHD14B;ABT1;AK6;ALKBH2;ANAPC11;ANG;ANP32B;APEX1;ARL2;ARL4A;BIRC5;BRIX1;BUD23;C1D;CAPG;CASP6;CCDC137;CENPV;CERKL;CIAPIN1;COIL;CSTB;CUTC;DDX24;DDX28;DDX50;DEDD;DEK;DKC1;DNAJB9;DNAJC21;DOLK;EBNA1BP2;EDF1;EEF1A1;EID3;ENDOV;EXOSC1;EXOSC4;EXOSC5;EXOSC6;EXOSC8;FAM32A;FAU;FBL;FEN1;FRG1;FSAF1;GET3;GRWD1;GTF2H5;H1-10;H1-2;HDHD3;HINFP;HIRIP3;HMGB2;HMGN2;IFI35;ILF2;IMP3;IMP4;ISG20;KNOP1;KRR1;LLPH;LSM6;LYAR;MAD2L1BP;MAGED2;MAGEH1;MCRS1;MEAF6;METTL18;METTL5;MIF4GD;MRTO4;MYC;NGDN;NIFK;NIP7;NLE1;NOL12;NOL7;NOP16;NOP53;NPM1;NPM2;NPM3;NSA2;NSUN5;NUCKS1;NUSAP1;P3H4;PA2G4;PAK1IP1;PARP1;PDCD2;PIH1D1;PIM1;PIN4;POP4;POP5;POP7;PPP1CC;PSIP1;PWP1;PYM1;RAC1;RAD51;RAN;RBIS;RBM7;RBMX2;RGCC;RIOX1;RRP36;RRP9;RRS1;RSL1D1;RSL24D1;SAP30L;SBDS;SFR1;SIRT6;SIRT7;SLBP;SLX9;SNRNP35;SNU13;SRP19;STAG3;SUB1;SUMO1;SWI5;TAF13;TERF2IP;TRMT10A;TUT1;UBE2I;UBE2M;UPF3A;UTP11;UTP3;WDR46;XRCC6;ZNF404;ZNF771
GO_Biological_Process_2026,Mitochondrial Respiratory Chain Complex IV Assembly (GO:0033617),8.42944609372341e-06,0.005357600904556544,1.7771075862794e-05,0.009599612070611085,7.0869997848537,13,21,GC-robust,BCS1L;CMC1;COA3;COA5;COA6;COA8;PET100;PET117;SCO1;SMIM20;STMP1;SURF1;TMEM223
GO_Biological_Process_2026,Spliceosome Conformational Change to Release U4 (Or U4atac) and U1 (Or U11) (GO:0000388),9.41958665187832e-06,0.005357600904556544,1.58757267131273e-05,0.009433356812940242,4.620694023894288,18,35,GC-robust,PDCD7;PHF5A;PRPF31;SCNM1;SF3B5;SF3B6;SNRNP25;SNRNP35;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;TXNL4B;USP39
GO_Biological_Process_2026,Spliceosomal Conformational Changes to Generate Catalytic Conformation (GO:0000393),9.91814371425816e-06,0.005357600904556544,1.56202985957564e-05,0.009433356812940242,4.364498061180526,19,38,GC-robust,ISY1;PDCD7;PHF5A;PRPF31;SCNM1;SF3B5;SF3B6;SNRNP25;SNRNP35;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;TXNL4B;USP39
GO_Biological_Process_2026,Protein Insertion Into Mitochondrial Membrane (GO:0051204),1.1350080428118e-05,0.005620181491989763,2.18463604154808e-05,0.010817589465732242,6.106434258661502,14,24,GC-robust,MOAP1;ROMO1;TIMM10;TIMM13;TIMM22;TIMM29;TIMM8A;TIMM8B;TIMM9;TOMM20;TOMM22;TOMM40;TOMM5;TOMM7
GO_Cellular_Component_2026,"RNA Polymerase II, Holoenzyme (GO:0016591)",0.0003120175996631,0.005893665771414111,0.0010501874234903,0.019128413785001894,2.447827595999116,23,64,GC-robust,CDK7;GTF2A2;GTF2H3;GTF2H5;PEX2;POLR2C;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;SKIC8;TADA3;TAF10;TAF11;TAF12;TAF13;TAF9;TAF9B;TCEA1
GO_Biological_Process_2026,Respiratory Chain Complex IV Assembly (GO:0008535),1.58869406287519e-05,0.007261553939695677,3.58822551691846e-05,0.01623323869214225,6.299244597437368,13,22,GC-robust,BCS1L;CMC1;COA3;COA5;COA6;COA8;PET100;PET117;SCO1;SMIM20;STMP1;SURF1;TMEM223
GO_Biological_Process_2026,7-Methylguanosine Cap Hypermethylation (GO:0036261),2.00378843691625e-05,0.007937673928104239,5.21430283860605e-05,0.01721299303722064,17.431334622823986,8,10,GC-robust,LSM10;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Biological_Process_2026,RNA Capping (GO:0036260),2.00378843691625e-05,0.007937673928104239,5.21430283860605e-05,0.01721299303722064,17.431334622823986,8,10,GC-robust,LSM10;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Biological_Process_2026,Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),4.50443760277923e-05,0.015066070284200745,7.03921753006288e-05,0.022014226612438754,8.718125134379703,10,15,GC-robust,BCS1L;ROMO1;TIMM10;TIMM13;TIMM22;TIMM29;TIMM8A;TIMM8B;TIMM9;TMEM126A
GO_Biological_Process_2026,Iron-sulfur Cluster Assembly (GO:0016226),4.56393916384405e-05,0.015066070284200745,4.09792292800629e-05,0.01623323869214225,5.551029990022888,14,25,GC-robust,BOLA3;CIAO1;CIAO2A;CIAO2B;CIAPIN1;FDX2;FXN;GLRX5;HSCB;ISCA1;ISCA2;ISCU;NFU1;NUBP2
