,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
21,GO_Biological_Process_2026,Striated Muscle Contraction (GO:0006941),8.476160659676685e-15,1.7900110193117216e-12,0,0,5.504354157565166,178.34943471835345,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;LMOD3;RPL7;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPL18;RPL39;RPL19;KCNH2;CHRNB1;RPL41;RPL21;RPL23;TNNC1;RPL13A;RPL35A;RPL23A;MYL4;RPL27A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52
22,GO_Biological_Process_2026,Protein-RNA Complex Assembly (GO:0022618),2.3275924420445708e-14,4.701736732930033e-12,0,0,3.5948427239968455,112.84699078739007,ISY1;RPL5;TXNL4B;HSP90AB1;PDCD7;GEMIN2;CELF4;USP39;COIL;RPS14;RPS19;SNRPD2;CLP1;SNRPD1;DENR;SNRPD3;SNRNP35;TXNL4A;ABT1;HSP90AA1;RPSA;SCNM1;SNRPG;SNRNP27;STRAP;GEMIN6;SNRPE;SNRNP25;SNRPF;SNRPC;SRSF6;SNRPA;SNRPB;SF3B5;TSSC4;SF3B6;RPL11;SNU13;PUF60;RRS1;BRIX1;SNRPB2;SRSF10;MCTS1;PTGES3;ERAL1;LSM5;LSM4;LSM3;LSM2;LSM8;LSM7;RPS28;EIF3M;EIF2S3;LSM6;PHF5A;EIF6;EIF3K;EIF3L;EIF3I;EIF3G;EIF3H;RBM42;EIF3E;PRPF31;EIF3F;FAU;EIF3D;NOP53
23,GO_Biological_Process_2026,Ribonucleoprotein Complex Biogenesis (GO:0022613),3.4580787471129135e-13,6.694264107952749e-11,0,0,4.02788182835059,115.57158251679266,RPL5;PAK1IP1;WDR46;RPL7;RRP9;RPS15;RPS4X;FBL;RPS14;RPS17;RPS16;RPS19;RPS11;RPS13;RPS12;RPS9;RPS7;UTP11;IMP3;RPS8;RPS5;NGDN;RPS6;GTF3A;IMP4;RPS3A;EBNA1BP2;GRWD1;MRTO4;CINP;RPL26;FSAF1;RPS19BP1;NIP7;RPL11;NOL7;SNU13;MALSU1;RPS15A;RRS1;RPL14;RRP36;RPS27A;NPM1;NOP16;KRR1;UTP3;RPL35A;RPS25;RPS28;RPS27;PDCD2;RBIS;RSL24D1;RPS24;RPS23
24,GO_Biological_Process_2026,Ribosomal Small Subunit Biogenesis (GO:0042274),4.23857860471552e-13,7.876974479003322e-11,0,0,5.037030192756013,143.50185832047558,RPS19BP1;TSR3;NOL7;SNU13;WDR46;RRP9;RPS15;RPS4X;FBL;RPS14;TRMT112;RPS17;RPS16;RPS15A;NOB1;RPS19;RRP36;RPS11;RPS27A;RPS13;RPS12;RPS9;NPM1;RPS7;UTP11;IMP3;RPS8;KRR1;UTP3;RPS5;NGDN;RPS6;IMP4;RPS3A;RPSA;ERAL1;RPS25;RPS28;LSM6;RPS27;PDCD2;FAU;FSAF1;RPS24;RPS23
5686,GO_Cellular_Component_2026,Nucleolus (GO:0005730),1.7787661246596258e-11,6.888676082772733e-10,0,0,1.8666920785154206,46.20532570365668,RPL4;POP5;RPL5;SRP19;POP7;POP4;NUCKS1;IFI35;RPL8;RPL10A;RPL9;PWP1;RPL7;RRP9;ALKBH2;PPP1CC;RPS14;FBL;ENDOV;RPS19;RBMX2;MYC;RPL36;PIM1;NUSAP1;RPL35;HMGN2;SNRNP35;RPS11;RPS10;RPS13;ABT1;RPS9;RPS7;IMP3;PIH1D1;RPL23;NGDN;RPS6;IMP4;P3H4;HDHD3;ILF2;MIF4GD;EEF1A1;EBNA1BP2;EID3;DKC1;GRWD1;SUB1;MRTO4;SBDS;RPL27;RPL26;RPL29;SLBP;CERKL;MEAF6;RPS19BP1;ARL2;SNU13;AK6;ANAPC11;DNAJC21;RRS1;BRIX1;LLPH;LYAR;XRCC6;UBE2I;NOP16;CCDC137;PYM1;KNOP1;MAD2L1BP;UPF3A;DOLK;PA2G4;H1-2;RPS26;ISG20;RPS25;LSM6;RGCC;RIOX1;STAG3;PIN4;MAGED2;ANP32B;NOL12;RBIS;RSL24D1;CUTC;UBE2M;ZNF771;FEN1;PAK1IP1;HMGB2;PSIP1;WDR46;H1-10;COIL;RPL7A;SUMO1;SFR1;CASP6;ZNF404;RAC1;BUD23;GET3;RBM7;METTL18;PARP1;UTP11;NSUN5;RPL13A;ABHD14B;SIRT6;EDF1;RPS3A;SIRT7;DDX50;NSA2;ARL4A;C1D;FRG1;TUT1;ANG;FAM32A;FSAF1;DDX28;CSTB;MAGEH1;DDX24;NIP7;RPL11;NOL7;RPS27L;CAPG;EXOSC6;EXOSC5;HIRIP3;EXOSC4;SAP30L;EXOSC8;RPS3;RPL13;RRP36;DNAJB9;METTL5;RPS2;RPS27A;SLX9;DEDD;EXOSC1;RPL19;TRMT10A;CENPV;NPM1;NPM2;NIFK;UTP3;KRR1;TAF13;MCRS1;RPL23A;DEK;NPM3;GTF2H5;NLE1;HINFP;RSL1D1;RAD51;APEX1;PDCD2;CIAPIN1;FAU;NOP53;RAN
5687,GO_Cellular_Component_2026,Nuclear Lumen (GO:0031981),4.259444226760878e-11,1.5121027005001115e-09,0,0,1.83098369071595,43.72260396498093,RPL4;POP5;RPL5;SRP19;POP7;POP4;NUCKS1;IFI35;RPL8;RPL10A;RPL9;PWP1;RPL7;RRP9;ALKBH2;PPP1CC;RPS14;FBL;ENDOV;RPS19;RBMX2;MYC;RPL36;PIM1;NUSAP1;RPL35;HMGN2;SNRNP35;RPS11;RPS10;RPS13;ABT1;RPS9;RPS7;IMP3;PIH1D1;RPL23;NGDN;RPS6;IMP4;P3H4;HDHD3;ILF2;MIF4GD;EEF1A1;EBNA1BP2;EID3;DKC1;GRWD1;SUB1;MRTO4;SBDS;RPL27;RPL26;RPL29;SLBP;CERKL;MEAF6;RPS19BP1;ARL2;SNU13;AK6;ANAPC11;SWI5;DNAJC21;RRS1;BRIX1;LLPH;LYAR;XRCC6;UBE2I;NOP16;CCDC137;PYM1;KNOP1;MAD2L1BP;UPF3A;DOLK;PA2G4;H1-2;RPS26;ISG20;RPS25;LSM6;RGCC;RIOX1;STAG3;PIN4;MAGED2;ANP32B;NOL12;RBIS;RSL24D1;CUTC;UBE2M;ZNF771;FEN1;PAK1IP1;HMGB2;PSIP1;WDR46;H1-10;COIL;RPL7A;SUMO1;SFR1;CASP6;ZNF404;RAC1;BUD23;GET3;RBM7;METTL18;PARP1;UTP11;NSUN5;RPL13A;ABHD14B;SIRT6;EDF1;RPS3A;SIRT7;DDX50;NSA2;ARL4A;C1D;FRG1;TUT1;BIRC5;TERF2IP;ANG;FAM32A;FSAF1;DDX28;CSTB;MAGEH1;DDX24;NIP7;RPL11;NOL7;RPS27L;CAPG;EXOSC6;EXOSC5;HIRIP3;EXOSC4;SAP30L;EXOSC8;RPS3;RPL13;RRP36;DNAJB9;METTL5;RPS2;RPS27A;SLX9;DEDD;EXOSC1;RPL19;TRMT10A;CENPV;NPM1;NPM2;NIFK;UTP3;KRR1;TAF13;MCRS1;RPL23A;DEK;NPM3;GTF2H5;NLE1;HINFP;RSL1D1;RAD51;APEX1;PDCD2;CIAPIN1;FAU;NOP53;RAN
5688,GO_Cellular_Component_2026,Intracellular Membraneless Organelle (GO:0043232),2.032860944563654e-10,6.661528941416281e-09,0,0,1.601847782869818,35.74748674902065,RPL4;POP5;RPL5;POP7;POP4;IFI35;RPL8;RPL9;PWP1;ACTB;RPL7;RRP9;CDC20;UXT;ALKBH2;RPS14;ENDOV;CFAP276;RPS17;RPS19;RPS18;MYC;RPL36;RPL35;CIAO2B;RPS11;RPS10;RPS13;ABT1;IMP3;PIH1D1;RPL23;NGDN;IMP4;P3H4;HDHD3;MIF4GD;EID3;BIN1;SUB1;GRWD1;JTB;RPL27;RPL26;RPL29;RHNO1;SLBP;CERKL;SET;MEAF6;CDCA5;SNU13;MRPL13;PPL;ANAPC11;RRS1;LYAR;XRCC6;KNOP1;MAD2L1BP;UPF3A;PA2G4;H1-2;SOX30;RPS26;RPS25;RPS28;RPS27;STAG3;RPS29;SASS6;LDAF1;MAGED2;ANP32B;NOL12;REC114;CUTC;RPS23;FEN1;PAK1IP1;MRPS12;HILPDA;INTS15;WDR46;COIL;HINT1;SERP1;RAC2;C19ORF12;RAC1;EMD;CCT3;CCDC110;NUDC;PARP1;NSUN5;TUBB;RHOG;SIRT6;SIRT7;DYNLL1;MRPS7;MZT2B;MZT2A;NSA2;FRG1;TUT1;FAM32A;PLIN2;FSAF1;CSTB;MAGEH1;ELOF1;NIP7;RPL11;NOL7;RPS27L;CAPG;FAAP20;EXOSC6;EXOSC5;EXOSC4;PPP1R7;EXOSC8;RPS3;RPL13;RRP36;METTL5;RPL15;RPS2;SHOC1;RPS27A;SLX9;EXOSC1;DEDD;RPL19;BCAP31;TRMT10A;CENPV;NPM1;NPM2;UTP3;MCRS1;KRT10;NPM3;TUBB4B;NLE1;GTF2H5;MZT1;HINFP;MAD2L2;RSL1D1;CENPH;APEX1;CAPZA1;PNPLA3;PNPLA4;CIAPIN1;FAU;SRP19;GIMAP2;NUCKS1;RPL10A;GIMAP7;ACTG1;PPP1CC;FBL;RBMX2;ARHGDIB;PIM1;NUSAP1;HMGN2;SNRNP35;RPS9;RPS7;RPS5;RPS6;ILF2;TUBA4A;EEF1A1;FRMD5;EBNA1BP2;DKC1;MRTO4;SBDS;S100A9;S100A8;RAB5C;RPS19BP1;ARL2;AK6;CNN2;SYCE3;DNAJC21;BRIX1;LLPH;SAC3D1;UBE2I;NOP16;CCDC137;CBX3;PYM1;TBCC;DOLK;ISG20;BFSP2;RGCC;LSM6;RIOX1;PIN4;RBIS;RSL24D1;UBE2M;ZNF771;HMGB2;PSIP1;HSPB1;LDB3;H1-10;LMOD3;LMOD2;MRPL4;RPS4X;RPL7A;SUMO1;SFR1;CASP6;ZNF404;BUD23;GET3;RBM7;METTL18;UTP11;ABHD14B;RPL13A;EDF1;RPS3A;DDX50;ARL4A;C1D;DCX;ANG;ITGB1BP1;GAPDH;DDX28;DDX24;UHRF1;RPL36A;HSD17B11;AURKB;PDLIM1;HIRIP3;KATNA1;SAP30L;DNAJB9;MAPK3;NIFK;TAF13;KRR1;RPL23A;DEK;C1ORF146;RAD51;PRC1;PDCD2;VIM;NOP53;RAN
5689,GO_Cellular_Component_2026,Mitochondrial Intermembrane Space (GO:0005758),2.2231258527071085e-10,6.764654380380201e-09,0,0,4.946534937683898,109.94631885845351,COX19;STOML2;NDUFB7;COX4I1;TIMM9;COX17;TIMM13;ARL2;TRIAP1;TIMM10;PPOX;COX5A;CHCHD5;CHCHD2;BLOC1S1;STMP1;COA6;PRELID3B;COA4;TIMM8B;NDUFA8;TIMM8A;PRELID1;TIMM29;CMC4;UQCC2;CMC1;CHCHD10;NME4;REXO2;COX6C;SOD1;HAX1;STAR;CYCS
5691,GO_Cellular_Component_2026,U4/U6 X U5 tri-snRNP Complex (GO:0046540),4.479332348894681e-10,1.1926222378932089e-08,0,0,9.594402758061245,206.53273012957962,TXNL4B;SNRPN;SNU13;USP39;LSM5;LSM4;LSM3;LSM2;LSM8;LSM7;LSM6;SNRPD2;ZMAT2;SNRPD1;SNRPG;CD2BP2;PRPF31;SNRPE;SNRPD3;SNRPF;TXNL4A;SNRPB
5690,GO_Cellular_Component_2026,Spliceosomal tri-snRNP Complex (GO:0097526),4.479332348894681e-10,1.1926222378932089e-08,0,0,9.594402758061245,206.53273012957962,TXNL4B;SNRPN;SNU13;USP39;LSM5;LSM4;LSM3;LSM2;LSM8;LSM7;LSM6;SNRPD2;ZMAT2;SNRPD1;SNRPG;CD2BP2;PRPF31;SNRPE;SNRPD3;SNRPF;TXNL4A;SNRPB
