"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::U2-type Precatalytic Spliceosome (GO:0071005)",8.76906054135651e-08,26,50,2.69014979081832e-07,"GO_Cellular_Component_2026",4.79602356146067e-06,1.52441821479705e-05,"GC-robust"
"GO_Cellular_Component_2026::Mitochondrial Matrix (GO:0005759)",9.40396776756993e-08,113,379,6.47849224430718e-07,"GO_Cellular_Component_2026",4.79602356146067e-06,3.00366458599697e-05,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal tri-snRNP Complex Assembly (GO:0000244)",9.45882837177009e-08,22,38,1.85239420059308e-07,"GO_Biological_Process_2026",2.81210967492725e-05,6.11907550929249e-05,"GC-robust"
"GO_Biological_Process_2026::MRNA Processing (GO:0006397)",1.25063686830888e-07,80,258,5.54764640051085e-06,"GO_Biological_Process_2026",3.54108896141171e-05,0.00143418719554076,"GC-robust"
"GO_Cellular_Component_2026::Spliceosomal snRNP Complex (GO:0097525)",2.41283357898294e-07,27,54,4.47438365018104e-07,"GO_Cellular_Component_2026",1.11867738661936e-05,2.28193566159233e-05,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex IV Assembly (GO:0033617)",5.76021685877406e-07,17,28,1.87566708270808e-06,"GO_Biological_Process_2026",0.000155682952010321,0.000531081736846775,"GC-robust"
"GO_Cellular_Component_2026::U12-type Spliceosomal Complex (GO:0005689)",1.06066252398589e-06,16,26,2.94904945927255e-06,"GO_Cellular_Component_2026",4.50781572694005e-05,0.000125334602019084,"GC-robust"
"GO_Cellular_Component_2026::U4 snRNP (GO:0005687)",1.72151047523278e-06,9,10,3.29020477338209e-06,"GO_Cellular_Component_2026",6.7536180182209e-05,0.000129077264186528,"GC-robust"
"GO_Biological_Process_2026::Respiratory Chain Complex IV Assembly (GO:0008535)",2.17081154552338e-06,17,30,7.00845972469474e-06,"GO_Biological_Process_2026",0.000561201976073132,0.00173634589679312,"GC-robust"
"GO_Cellular_Component_2026::U2-type Spliceosomal Complex (GO:0005684)",2.23367581045277e-06,36,92,9.64403361344123e-06,"GO_Cellular_Component_2026",8.13696188093509e-05,0.000351318367346788,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, Ubiquinol to Cytochrome C (GO:0006122)",3.14117101622316e-06,10,12,3.46706440553605e-06,"GO_Biological_Process_2026",0.000778225119269287,0.000937052952514425,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Membrane (GO:0051204)",1.14137425522562e-05,15,26,1.83084007272554e-05,"GO_Biological_Process_2026",0.00271464452862861,0.00403191669349113,"GC-robust"
"GO_Biological_Process_2026::Spliceosome Conformational Change to Release U4 (Or U4atac) and U1 (Or U11) (GO:0000388)",1.38967220324797e-05,18,35,2.28452164624357e-05,"GO_Biological_Process_2026",0.00317807343096632,0.00468405714088423,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal Conformational Changes to Generate Catalytic Conformation (GO:0000393)",1.48213319915974e-05,19,38,2.27971165497819e-05,"GO_Biological_Process_2026",0.00326398666748289,0.00468405714088423,"GC-robust"
"GO_Biological_Process_2026::Iron-sulfur Cluster Assembly (GO:0016226)",1.96511875052687e-05,15,26,1.83084007272554e-05,"GO_Biological_Process_2026",0.00402917106573544,0.00403191669349113,"GC-robust"
"GO_Biological_Process_2026::Metallo-sulfur Cluster Assembly (GO:0031163)",1.96511875052687e-05,15,26,1.83084007272554e-05,"GO_Biological_Process_2026",0.00402917106573544,0.00403191669349113,"GC-robust"
"GO_Biological_Process_2026::7-Methylguanosine Cap Hypermethylation (GO:0036261)",2.47219435611501e-05,8,10,6.32458499466532e-05,"GO_Biological_Process_2026",0.00474182827143866,0.0113957522358424,"GC-robust"
"GO_Biological_Process_2026::RNA Capping (GO:0036260)",2.47219435611501e-05,8,10,6.32458499466532e-05,"GO_Biological_Process_2026",0.00474182827143866,0.0113957522358424,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039)",4.55329806324585e-05,11,17,5.77121019667516e-05,"GO_Biological_Process_2026",0.00846059696376869,0.0113957522358424,"GC-robust"
"GO_Cellular_Component_2026::U6 snRNP (GO:0005688)",4.66484674753984e-05,7,8,7.01207849829842e-05,"GO_Cellular_Component_2026",0.00158604789416355,0.00223510002133262,"GC-robust"
"GO_Molecular_Function_2026::SnRNA Binding (GO:0017069)",4.81905897162086e-05,19,41,8.64855625859422e-05,"GO_Molecular_Function_2026",0.0333719833784745,0.0598912520907649,"n.s."
"GO_Biological_Process_2026::Mitochondrial Respirasome Assembly (GO:0097250)",4.85082628818002e-05,7,8,7.01207849829842e-05,"GO_Biological_Process_2026",0.00874030700288437,0.0122628878679066,"GC-robust"
"GO_Cellular_Component_2026::U1 snRNP (GO:0005685)",6.39829049883564e-05,11,18,0.000122246119578592,"GO_Cellular_Component_2026",0.00203945509650386,0.00346364005472679,"GC-robust"
"GO_Biological_Process_2026::Cellular Response to Superoxide (GO:0071451)",6.75869812791578e-05,8,10,6.32458499466532e-05,"GO_Biological_Process_2026",0.0118197703142904,0.0113957522358424,"GC-robust"
"GO_Cellular_Component_2026::Cytoplasmic Side of Lysosomal Membrane (GO:0098574)",8.19430745794205e-05,10,14,3.57272589118139e-05,"GO_Cellular_Component_2026",0.00245829223738262,0.00121472680300167,"GC-robust"
"GO_Cellular_Component_2026::U5 snRNP (GO:0005682)",0.000103009193798615,11,18,0.000122246119578592,"GO_Cellular_Component_2026",0.0029185938242941,0.00346364005472679,"GC-robust"
