Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes,cluster_id,cluster_size,cluster_members,core_genes,n_core_genes,common_genes,n_common_genes,union_genes,n_union_genes
GO_Biological_Process_2026,Negative Regulation of miRNA Transcription (GO:1902894),1.7669422834354e-07,0.0010499171048173146,2.757291857383e-07,0.0016383828216569786,9.891913463558074,11,20,GC-robust,APP;ESR1;HIF1A;NCOR1;NCOR2;PPARG;RARA;RELA;SMAD3;SRF;ZNF512B,1,2,Negative Regulation of miRNA Transcription (GO:1902894);Negative Regulation of miRNA Metabolic Process (GO:2000629),APP;ESR1;HIF1A;NCOR1;NCOR2;PPARG;RARA;RELA;SMAD3;SRF;ZNF512B,11,APP;ESR1;HIF1A;NCOR1;NCOR2;PPARG;RARA;RELA;SMAD3;SRF;ZNF512B,11,APP;ESR1;HIF1A;NCOR1;NCOR2;PPARG;RARA;RELA;SMAD3;SRF;ZNF512B,11
GO_Molecular_Function_2026,GTPase Regulator Activity (GO:0030695),8.18535069518576e-06,0.01133671071283228,1.1049910966774e-05,0.01530412668898199,1.4989193503159983,66,424,GC-robust,ARAP1;ARAP2;ARF4;ARFGAP1;ARFGEF2;ARHGAP15;ARHGAP25;ARHGEF1;ARHGEF12;ARHGEF18;ARHGEF38;CCDC88C;CPEB2;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;ELMO1;ELMO2;FAM13A;GIT2;GPSM1;HERC2;HPS4;IQSEC1;ITSN1;LLGL1;MCF2L;MYCBP2;MYO9A;NET1;NF1;OBSCN;PLCG1;PLXNB1;RAB3GAP2;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RAP1GAP;RAPGEF1;RASA1;RASA3;RGS12;RMC1;RPGR;SBF1;SERGEF;SGSM2;SH3BP5;SIPA1L2;SMCR8;STARD8;STXBP5;STXBP5L;TAGAP;TBC1D14;TBC1D22A;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBCD;TRIO,2,1,GTPase Regulator Activity (GO:0030695),ARAP1;ARAP2;ARF4;ARFGAP1;ARFGEF2;ARHGAP15;ARHGAP25;ARHGEF1;ARHGEF12;ARHGEF18;ARHGEF38;CCDC88C;CPEB2;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;ELMO1;ELMO2;FAM13A;GIT2;GPSM1;HERC2;HPS4;IQSEC1;ITSN1;LLGL1;MCF2L;MYCBP2;MYO9A;NET1;NF1;OBSCN;PLCG1;PLXNB1;RAB3GAP2;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RAP1GAP;RAPGEF1;RASA1;RASA3;RGS12;RMC1;RPGR;SBF1;SERGEF;SGSM2;SH3BP5;SIPA1L2;SMCR8;STARD8;STXBP5;STXBP5L;TAGAP;TBC1D14;TBC1D22A;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBCD;TRIO,66,ARAP1;ARAP2;ARF4;ARFGAP1;ARFGEF2;ARHGAP15;ARHGAP25;ARHGEF1;ARHGEF12;ARHGEF18;ARHGEF38;CCDC88C;CPEB2;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;ELMO1;ELMO2;FAM13A;GIT2;GPSM1;HERC2;HPS4;IQSEC1;ITSN1;LLGL1;MCF2L;MYCBP2;MYO9A;NET1;NF1;OBSCN;PLCG1;PLXNB1;RAB3GAP2;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RAP1GAP;RAPGEF1;RASA1;RASA3;RGS12;RMC1;RPGR;SBF1;SERGEF;SGSM2;SH3BP5;SIPA1L2;SMCR8;STARD8;STXBP5;STXBP5L;TAGAP;TBC1D14;TBC1D22A;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBCD;TRIO,66,ARAP1;ARAP2;ARF4;ARFGAP1;ARFGEF2;ARHGAP15;ARHGAP25;ARHGEF1;ARHGEF12;ARHGEF18;ARHGEF38;CCDC88C;CPEB2;DENND1B;DENND3;DNMBP;DOCK11;DOCK2;ELMO1;ELMO2;FAM13A;GIT2;GPSM1;HERC2;HPS4;IQSEC1;ITSN1;LLGL1;MCF2L;MYCBP2;MYO9A;NET1;NF1;OBSCN;PLCG1;PLXNB1;RAB3GAP2;RABGEF1;RALGAPA2;RALGAPB;RALGPS1;RAP1GAP;RAPGEF1;RASA1;RASA3;RGS12;RMC1;RPGR;SBF1;SERGEF;SGSM2;SH3BP5;SIPA1L2;SMCR8;STARD8;STXBP5;STXBP5L;TAGAP;TBC1D14;TBC1D22A;TBC1D2B;TBC1D3;TBC1D3L;TBC1D5;TBCD;TRIO,66
