Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Cellular_Component_2026,Nucleolus (GO:0005730),2.83545245679363e-05,0.0007230403764823756,0.000910412105176,0.0145096929262425,1.4929178470254956,156,624,GC-robust,ABHD14B;ABT1;AK6;ALKBH2;ANAPC11;ANP32B;APEX1;ARL2;ARL4A;BUD23;C1D;CAPG;CASP6;CENPV;CERKL;CIAPIN1;COIL;CSTB;DDX24;DDX28;DEDD;DEDD2;DEK;DGKQ;DNAJB9;DOLK;EBNA1BP2;EDF1;EEF1A1;EID3;ENDOV;ERF;EXOSC1;EXOSC4;EXOSC5;EXOSC6;FAM32A;FAU;FBL;FEN1;FLNA;FOXM1;FRG1;FSAF1;GEMIN4;GET3;GRWD1;GTF2H5;H1-10;H1-2;HDHD3;HINFP;HIRIP3;HMGB2;HMGN2;IFI35;ILF2;IMP3;IMP4;ISG20;LLPH;LRWD1;LSM6;LYAR;MAD2L1BP;MAGED2;MAGEH1;MCRS1;MEAF6;METTL18;METTL5;MIF4GD;MRTO4;MYC;NIFK;NIP7;NLE1;NOL12;NOL7;NOP53;NPM1;NPM2;NPM3;NRG2;NSA2;NSUN5;NUCKS1;PA2G4;PARP1;PARP10;PDCD2;PIDD1;PIH1D1;PIM1;PIN4;PNKP;PNMA1;POP4;POP5;POP7;PYM1;RAC1;RAN;RBIS;RBM7;RBMX2;RGCC;RIOX1;RPL10A;RPL11;RPL13;RPL13A;RPL19;RPL23;RPL23A;RPL26;RPL27;RPL29;RPL3;RPL35;RPL36;RPL4;RPL5;RPL7;RPL7A;RPL8;RPL9;RRP36;RRP9;RRS1;RSL24D1;RXRB;SAP30L;SBDS;SIRT6;SIRT7;SLBP;SLC29A2;SLX9;SMUG1;SNRNP35;SNU13;STAG3;SUB1;SUMO1;TUT1;UBE2I;UBE2M;UTP11;WDR46;ZBED6;ZNF346;ZNF554;ZNF593;ZNF771;ZPR1
GO_Cellular_Component_2026,Nuclear Lumen (GO:0031981),3.61188124836678e-05,0.0008771711603176465,0.0013482007377007,0.0202230110655105,1.4711270946693922,159,643,GC-robust,ABHD14B;ABT1;AK6;ALKBH2;ANAPC11;ANP32B;APEX1;ARL2;ARL4A;BIRC5;BUD23;C1D;CAPG;CASP6;CENPV;CERKL;CIAPIN1;COIL;CSTB;DDX24;DDX28;DEDD;DEDD2;DEK;DGKQ;DNAJB9;DOLK;EBNA1BP2;EDF1;EEF1A1;EID3;ENDOV;ERF;EXOSC1;EXOSC4;EXOSC5;EXOSC6;FAM32A;FAU;FBL;FEN1;FLNA;FOXM1;FRG1;FSAF1;GEMIN4;GET3;GRWD1;GTF2H5;H1-10;H1-2;HDHD3;HINFP;HIRIP3;HMGB2;HMGN2;IFI35;ILF2;IMP3;IMP4;ISG20;LLPH;LRWD1;LSM6;LYAR;MAD2L1BP;MAGED2;MAGEH1;MCRS1;MEAF6;METTL18;METTL5;MIF4GD;MRTO4;MYC;NIFK;NIP7;NLE1;NOL12;NOL7;NOP53;NPM1;NPM2;NPM3;NRG2;NSA2;NSUN5;NUCKS1;PA2G4;PARP1;PARP10;PDCD2;PIDD1;PIH1D1;PIM1;PIN4;PNKP;PNMA1;POP4;POP5;POP7;PYM1;RAC1;RAN;RBIS;RBM7;RBMX2;RGCC;RIOX1;RPL10A;RPL11;RPL13;RPL13A;RPL19;RPL23;RPL23A;RPL26;RPL27;RPL29;RPL3;RPL35;RPL36;RPL4;RPL5;RPL7;RPL7A;RPL8;RPL9;RRP36;RRP9;RRS1;RSL24D1;RXRB;SAP30L;SBDS;SIRT6;SIRT7;SLBP;SLC29A2;SLX9;SMUG1;SNRNP35;SNU13;STAG3;SUB1;SUMO1;SWI5;TERF2IP;TUT1;UBE2I;UBE2M;UTP11;WDR46;ZBED6;ZNF346;ZNF554;ZNF593;ZNF771;ZPR1
GO_Cellular_Component_2026,U6 snRNP (GO:0005688),4.41246447669369e-05,0.0010228894923244463,8.21976561063867e-05,0.0019054911188298735,31.03147092360319,7,8,GC-robust,LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;LSM8
GO_Cellular_Component_2026,U1 snRNP (GO:0005685),4.87863441645798e-05,0.0010817841532145957,0.0001526107941736,0.003242979376189,6.970456842860403,11,18,GC-robust,SNRPA;SNRPB;SNRPB2;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNRPN
GO_Cellular_Component_2026,Ribosome (GO:0005840),7.00524807546451e-05,0.0014886152160362084,0.0002170142758405,0.0044270912271462005,4.778753909407176,14,27,GC-robust,APEX1;CALR;EEF1A1;MRPL4;MRPS12;MRPS7;RPL13A;RPL15;RPL23;RPL27;RPL36A;RPL7A;RPL9;SERP1
GO_Cellular_Component_2026,Intracellular Organelle Lumen (GO:0070013),8.37448277056967e-05,0.0017083944851962126,4.81071892187564e-05,0.001226733325078288,1.5461373390557942,198,774,GC-robust,ABHD11;ACAT1;ACTR1B;ALKBH7;AMT;APEH;ARL2;ARPC5;ARSA;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5PB;AURKAIP1;BLOC1S1;BOLA3;C1ORF35;C1QBP;CALR;CAMP;CAPN1;CCT8;CD63;CFD;CLPP;CMC1;CNN2;CNPY3;COASY;COL17A1;COL6A2;COMMD3;COQ5;CSKMT;CSNK2B;CST3;CSTB;CTSD;CTSL;DARS2;DBI;DYNLT1;ECH1;ECHS1;ECI1;EEF1A1;EEF2;ENAM;ERAL1;ERP29;ESD;ETFB;ETFBKMT;ETHE1;FAHD1;FASTK;FDPS;FDX1;FDX2;FDXR;FLAD1;FOLR3;FSTL3;FURIN;FXN;GADD45GIP1;GANAB;GLRX5;GMFG;GPI;GRPEL1;GSDMD;GSTK1;GSTP1;GSTZ1;GUSB;HAGH;HMGB1;HSD17B8;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;HSPE1;HYKK;IDH2;IDH3B;IDH3G;IL23A;ILF2;ISCA2;ISCU;ITIH2;JMJD8;LAMB1;LGALS1;LIPT2;LONP1;MALSU1;MANF;MAPK3;MCAT;MDH2;MEN1;MIF;MMAB;MPST;MRM1;MRPL12;MRPL58;MRPS10;MRPS15;MRPS2;MTG1;MTHFS;MUC12;MUC6;MYDGF;MZB1;NAXE;NDUFA9;NDUFAB1;NDUFAF8;NDUFB8;NDUFS2;NDUFS3;NDUFS7;NDUFS8;NFS1;NIPSNAP1;NIT2;NME2;NME4;NT5M;NUCB1;NUDT1;NUDT13;NUDT2;OXA1L;PDAP1;PDIA4;PDK2;PIN4;PKM;PNPLA2;PODXL2;POLDIP2;POLRMT;PPIA;PPIB;PRDX3;PRDX4;PRDX5;PRKCSH;PROZ;PSMB1;PSMC3;PSMD3;PSMD6;PSMD7;PTCD1;PUSL1;QARS1;RBFA;REXO2;RIDA;RNASET2;RPUSD3;SCG3;SDF4;SDHAF1;SDHAF3;SELENOM;SHISA5;SHMT2;SIRT3;SMDT1;SOD1;SRP14;SSBP1;STAR;SUMF2;TEFM;TIMP1;TOR1A;TOR2A;TOR3A;TRMT10C;TST;TXN2;UQCC2;UQCRFS1;WNT4;YRDC
GO_Biological_Process_2026,Mitochondrial Respiratory Chain Complex IV Assembly (GO:0033617),1.22566224466998e-05,0.0018194956022125853,7.92468489650962e-05,0.010943436957087006,5.121263246691623,15,28,GC-robust,BCS1L;CMC1;COA3;COA5;COA6;COA8;COX14;COX16;COX17;PET100;PET117;SMIM20;STMP1;SURF1;TMEM223
GO_Biological_Process_2026,Spliceosome Conformational Change to Release U4 (Or U4atac) and U1 (Or U11) (GO:0000388),1.26737364930651e-05,0.001820971776772856,3.18351515814531e-05,0.004847105899760731,4.701767126603728,18,35,GC-robust,PHF5A;PRPF31;SCNM1;SF3B4;SF3B5;SF3B6;SNRNP25;SNRNP35;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNU13;TXNL4B;USP39
GO_Biological_Process_2026,U2-type Prespliceosome Assembly (GO:1903241),1.28798946824621e-05,0.001820971776772856,7.22389242459099e-05,0.01067635292639995,5.648199676066282,14,25,GC-robust,PHF5A;RBMX2;SF3A2;SF3B4;SF3B5;SF3B6;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Biological_Process_2026,7-Methylguanosine Cap Hypermethylation (GO:0036261),1.37235947598706e-05,0.0018520614928207186,7.55147899812728e-05,0.01067635292639995,17.735401459854014,8,10,GC-robust,LSM10;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG
