,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
4938,GO_Cellular_Component_2026,Small Ribosomal Subunit (GO:0015935),6.403194338766045e-22,4.7767829767194694e-20,0,0,28.641225398313026,1397.693949379456,RPS27L;RPS15;RPS4X;RPS14;RPS15A;RPS16;RPS19;RPS18;RACK1;RPS3;RPS2;RPS11;RPS27A;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS24;RPS23
11,GO_Biological_Process_2026,Regulation of Myoblast Fusion (GO:1901739),1.6362395042798628e-22,5.188242761487398e-20,0,0,17.131843280075188,859.4098626319858,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL18;RPL39;RPL19;RPL23;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52
4939,GO_Cellular_Component_2026,Cytosolic Small Ribosomal Subunit (GO:0022627),1.017027308937371e-21,6.322519770560656e-20,0,0,31.66410170625627,1530.5604442929089,RPS27L;RPS15;RPS4X;RPS14;RPS15A;RPS16;RPS19;RPS18;RPS3;RPS2;RPS11;RPS27A;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS24;RPS23
4589,KEGG_2021_Human,Parkinson disease,1.5930528444846037e-21,1.1868243691410298e-19,0,0,4.669596402702681,223.62059655690103,COX7B;NDUFA11;NDUFA12;COX4I1;PARK7;COX7C;TXN2;PSMD8;PSMD9;PSMD4;UQCRFS1;SLC18A2;NDUFC2;NDUFC1;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A5;UBA52;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;GNAI2;ATP5MC1;PSMB6;PSMB4;UBB;PSMB3;PSMB1;UBC;CYC1;RPS27A;NDUFV1;NDUFA9;ATP5PF;XBP1;NDUFA7;ATP5PD;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1D;ATP5F1E;PSMC5;PSMC3;UQCRQ;NDUFAB1;ATP5PO;GNAS;CALM1
12,GO_Biological_Process_2026,Oxidative Phosphorylation (GO:0006119),3.674783307781455e-21,1.0755808066237257e-18,0,0,13.407661136857188,630.8679012150008,NDUFB9;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCRH;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO;NDUFS2
13,GO_Biological_Process_2026,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),1.5161805827754434e-20,4.120762226757545e-18,0,0,15.237227285280309,695.3585994749933,NDUFB9;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO;NDUFS2
4590,KEGG_2021_Human,Prion disease,4.084964612984304e-19,2.4346389093386453e-17,0,0,4.158958001063264,176.09778328290756,COX7B;NDUFA11;NDUFA12;COX4I1;NCF4;COX7C;TNF;PSMD8;PSMD9;PSMD4;RAC2;UQCRFS1;NDUFC2;CYBA;NDUFC1;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;CSNK2B;NDUFS3;NDUFS2;SLC25A5;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;PSMB4;PSMB3;PSMB1;CYC1;NDUFV1;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;GRIN2C;COX6C;TUBB4B;ATP5F1D;ATP5F1E;GRIN2D;SOD1;PSMC5;PSMC3;UQCRQ;NDUFAB1;ATP5PO;HSPA1A
4591,KEGG_2021_Human,Huntington disease,6.824441955690628e-19,3.389472837993012e-17,0,0,3.795445789844894,158.75820727369026,COX7B;NDUFA11;NDUFA12;COX4I1;COX7C;BBC3;PSMD8;PSMD9;PSMD4;UQCRFS1;AP2M1;NDUFC2;NDUFC1;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;TBPL1;NDUFS2;SLC25A5;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;DNAH7;NDUFB11;NDUFB4;DCTN3;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;PSMB4;PSMB3;POLR2C;PSMB1;AP2S1;POLR2E;POLR2F;POLR2G;NRBF2;CYC1;POLR2H;POLR2I;NDUFV1;POLR2J;POLR2K;POLR2L;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1D;ATP5F1E;SOD1;PSMC5;PSMC3;UQCRQ;NDUFAB1;ATP5PO
14,GO_Biological_Process_2026,Striated Muscle Contraction (GO:0006941),2.1813965462645023e-18,5.533475905690953e-16,0,0,8.44246965892446,343.32625283502085,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;LMOD3;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;TNNI2;RPL38;RPL37;RPL18;RPL39;RPL19;KCNH2;RPL23;TNNC1;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52
4592,KEGG_2021_Human,Thermogenesis,6.909600404651761e-17,2.941515600837464e-15,0,0,4.179905582922824,155.53861199546577,COX7B;NDUFA11;NDUFA12;COX4I1;COX7C;ACTG1;DPF1;UQCRFS1;HRAS;COA5;RPS6;NDUFC2;SIRT6;NDUFC1;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;UQCRH;ATP5MC1;CYC1;ATP5MG;NDUFV1;ATP5MF;ATP5ME;COA4;NDUFA9;ATP5PF;COA3;NDUFA7;ATP5PD;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;NDUFAF8;UQCRQ;NDUFAB1;ATP5PO;GNAS;NDUFAF3
