"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)",1.26826540862645e-06,67,189,6.85598739716709e-06,"GO_Biological_Process_2026",0.000418809421604202,0.00194057090898863,"GC-robust"
"GO_Cellular_Component_2026::Precatalytic Spliceosome (GO:0071011)",1.90112843376725e-06,27,54,3.5195733478964e-06,"GO_Cellular_Component_2026",8.07979584351083e-05,0.00013807556980209,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039)",2.47296549715637e-06,13,17,2.05174246052554e-06,"GO_Biological_Process_2026",0.000773647732373551,0.000677530954742433,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal tri-snRNP Complex Assembly (GO:0000244)",3.74672629224462e-06,21,38,5.60721654022189e-06,"GO_Biological_Process_2026",0.0011135270540551,0.00166646475575395,"GC-robust"
"GO_Molecular_Function_2026::2 Iron, 2 Sulfur Cluster Binding (GO:0051537)",4.54438506583315e-06,11,14,8.57954074280775e-06,"GO_Molecular_Function_2026",0.00628942893111308,0.0118740843880459,"GC-robust"
"GO_Cellular_Component_2026::U2-type Precatalytic Spliceosome (GO:0071005)",4.69759805923299e-06,25,50,8.05408604322449e-06,"GO_Cellular_Component_2026",0.000184290385400679,0.000245703636698541,"GC-robust"
"GO_Cellular_Component_2026::U4 snRNP (GO:0005687)",5.15917536367504e-06,9,10,7.94627478693684e-06,"GO_Cellular_Component_2026",0.000187941388248162,0.000245703636698541,"GC-robust"
"GO_Biological_Process_2026::Spliceosomal Conformational Changes to Generate Catalytic Conformation (GO:0000393)",6.02747127208706e-06,21,38,5.60721654022189e-06,"GO_Biological_Process_2026",0.00170606139244217,0.00166646475575395,"GC-robust"
"GO_Biological_Process_2026::MRNA Splicing, via Spliceosome (GO:0000398)",6.95656449359013e-06,75,227,3.44784030568584e-05,"GO_Biological_Process_2026",0.00187953724317726,0.00731927242035595,"GC-robust"
"GO_Cellular_Component_2026::Intracellular Organelle Lumen (GO:0070013)",7.82703338043637e-06,220,779,3.08981931329393e-06,"GO_Cellular_Component_2026",0.000266119134934837,0.000131317320814992,"GC-robust"
"GO_Biological_Process_2026::Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)",9.8217895220805e-06,24,48,1.21938911457487e-05,"GO_Biological_Process_2026",0.00253829203996724,0.00278771111424348,"GC-robust"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, Ubiquinol to Cytochrome C (GO:0006122)",1.13617420147583e-05,10,12,9.04837593582908e-06,"GO_Biological_Process_2026",0.00281392477232181,0.00244470666193491,"GC-robust"
"GO_Cellular_Component_2026::Ficolin-1-rich Granule Lumen (GO:1904813)",1.19695271784046e-05,47,120,8.1901212232847e-06,"GO_Cellular_Component_2026",0.000381528678811645,0.000245703636698541,"GC-robust"
"GO_Biological_Process_2026::Protein Insertion Into Mitochondrial Membrane (GO:0051204)",1.28946857611327e-05,16,26,1.16344072907305e-05,"GO_Biological_Process_2026",0.00306584048656691,0.00276619667744409,"GC-robust"
"GO_Cellular_Component_2026::Secretory Granule Lumen (GO:0034774)",1.29953956579811e-05,88,264,5.05312540188227e-06,"GO_Cellular_Component_2026",0.000389861869739432,0.000184078139639997,"GC-robust"
"GO_Biological_Process_2026::Spliceosome Conformational Change to Release U4 (Or U4atac) and U1 (Or U11) (GO:0000388)",2.11686190710837e-05,19,35,2.20882611744809e-05,"GO_Biological_Process_2026",0.00462577904247625,0.00486268979337462,"GC-robust"
"GO_Biological_Process_2026::Iron-sulfur Cluster Assembly (GO:0016226)",2.17903454221627e-05,16,26,1.16344072907305e-05,"GO_Biological_Process_2026",0.00462577904247625,0.00276619667744409,"GC-robust"
"GO_Biological_Process_2026::Metallo-sulfur Cluster Assembly (GO:0031163)",2.17903454221627e-05,16,26,1.16344072907305e-05,"GO_Biological_Process_2026",0.00462577904247625,0.00276619667744409,"GC-robust"
"GO_Cellular_Component_2026::U2 snRNP (GO:0005686)",2.96726291244327e-05,13,20,3.44818914532574e-05,"GO_Cellular_Component_2026",0.000840724491858927,0.000925566560061121,"GC-robust"
"GO_Cellular_Component_2026::U2-type Spliceosomal Complex (GO:0005684)",4.38709279306474e-05,36,92,9.22712522580227e-05,"GO_Cellular_Component_2026",0.00117758806550685,0.00224087326912341,"GC-robust"
"GO_Cellular_Component_2026::Ficolin-1-rich Granule (GO:0101002)",4.68856301574831e-05,61,174,2.55907729832516e-05,"GO_Cellular_Component_2026",0.00119558356901582,0.000725071901192129,"GC-robust"
"GO_Biological_Process_2026::CD8-positive, Alpha-Beta T Cell Homeostasis (GO:0160165)",5.97505283351262e-05,10,14,8.91034710126577e-05,"GO_Biological_Process_2026",0.0122467979456548,0.0176543677233079,"GC-robust"
"GO_Biological_Process_2026::7-Methylguanosine Cap Hypermethylation (GO:0036261)",6.65900415902058e-05,8,10,0.000135137735996301,"GO_Biological_Process_2026",0.0127681034584575,0.0251018344613129,"GC-robust"
"GO_Biological_Process_2026::RNA Capping (GO:0036260)",6.65900415902058e-05,8,10,0.000135137735996301,"GO_Biological_Process_2026",0.0127681034584575,0.0251018344613129,"GC-robust"
"GO_Biological_Process_2026::MRNA Processing (GO:0006397)",8.26948427859381e-05,79,259,0.000413333023701975,"GO_Biological_Process_2026",0.015360567047488,0.0571360812298731,"n.s."
"GO_Cellular_Component_2026::U6 snRNP (GO:0005688)",8.38974972151822e-05,7,8,0.000138588240283077,"GO_Cellular_Component_2026",0.00203751064665442,0.00321272738838042,"GC-robust"
"GO_Biological_Process_2026::Antimicrobial Humoral Response (GO:0019730)",8.80295109594326e-05,26,59,8.64588526026584e-05,"GO_Biological_Process_2026",0.0158559822164505,0.0176543677233079,"GC-robust"
"GO_Biological_Process_2026::DNA Metabolic Process (GO:0006259)",0.000109832638505384,94,322,0.000657764735537074,"GO_Biological_Process_2026",0.0192013295081178,0.0766618350594582,"n.s."
"GO_Biological_Process_2026::U2-type Prespliceosome Assembly (GO:1903241)",0.000123270819406945,14,25,0.000174191399370268,"GO_Biological_Process_2026",0.0209201105321792,0.0304527552310846,"GC-robust"
"GO_Biological_Process_2026::Regulation of Proteasomal Protein Catabolic Process (GO:0061136)",0.000126703226641731,31,78,0.000198633176626982,"GO_Biological_Process_2026",0.0209201105321792,0.0337335886248795,"GC-robust"
"GO_Cellular_Component_2026::U1 snRNP (GO:0005685)",0.000160538435344082,11,18,0.000314648045318181,"GO_Cellular_Component_2026",0.00372157281934009,0.00668627096301134,"GC-robust"
"GO_Biological_Process_2026::Protein Catabolic Process (GO:0030163)",0.000162540632589621,54,158,0.000155584103281209,"GO_Biological_Process_2026",0.0261119329760191,0.0280239972698033,"GC-robust"
"GO_Biological_Process_2026::Cellular Response to Type I Interferon (GO:0071357)",0.000179706828285711,27,65,0.000213987374383647,"GO_Biological_Process_2026",0.0281099312455333,0.0353316931482333,"GC-robust"
"GO_Cellular_Component_2026::Cytoplasmic Side of Lysosomal Membrane (GO:0098574)",0.000196673184925887,10,14,8.91034710126577e-05,"GO_Cellular_Component_2026",0.00436101410053055,0.00224087326912341,"GC-robust"
"GO_Biological_Process_2026::Vesicle Targeting, Rough ER to cis-Golgi (GO:0048207)",0.000219702712791311,13,23,0.000263427342657149,"GO_Biological_Process_2026",0.0334849467905526,0.0401490288398486,"GC-robust"
"GO_Molecular_Function_2026::Ribosome Binding (GO:0043022)",0.000338986364011397,33,91,0.000888536452966932,"GO_Molecular_Function_2026",0.177076934862191,0.245946890181247,"n.s."
"GO_Cellular_Component_2026::U7 snRNP (GO:0005683)",0.000364002708088309,6,7,0.000566753532540325,"GO_Cellular_Component_2026",0.00744491040816092,0.0107053445035395,"GC-robust"
