"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::Intracellular Membraneless Organelle (GO:0043232)",2.99028242580122e-05,290,1066,1.58120910052607e-06,"GO_Cellular_Component_2026",0.00152504403715862,8.06416641268297e-05,"GC-robust"
"GO_Biological_Process_2026::RRNA Processing (GO:0006364)",9.09261803915032e-05,51,135,9.62286709537293e-06,"GO_Biological_Process_2026",0.0257147897783399,0.00285751038397099,"GC-robust"
"GO_Biological_Process_2026::ATP Biosynthetic Process (GO:0006754)",0.000127638762337567,14,25,0.000162794479137046,"GO_Biological_Process_2026",0.0344566640692188,0.0371860158305738,"GC-robust"
"GO_Biological_Process_2026::RRNA Metabolic Process (GO:0016072)",0.000171187409827876,36,102,0.000843663835770996,"GO_Biological_Process_2026",0.0442035663899025,0.117246684044107,"n.s."
"GO_Biological_Process_2026::Protein-RNA Complex Assembly (GO:0022618)",0.000209842205974192,56,164,0.000103160313443565,"GO_Biological_Process_2026",0.0519272025533637,0.0245067640616532,"GC-driven"
"GO_Biological_Process_2026::Energy Derivation by Oxidation of Organic Compounds (GO:0015980)",0.000316786180562359,17,34,0.000210596000077213,"GO_Biological_Process_2026",0.0752557250543941,0.0425612531521271,"GC-driven"
"GO_Biological_Process_2026::Regulation of Double-Strand Break Repair (GO:2000779)",0.000349322727067651,36,87,1.96866161901666e-05,"GO_Biological_Process_2026",0.0797933721559531,0.00556756255016188,"GC-driven"
"GO_Biological_Process_2026::Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)",0.000363693400933759,10,15,0.000204486755022094,"GO_Biological_Process_2026",0.0799990780794664,0.0425612531521271,"GC-driven"
"GO_Biological_Process_2026::Ribosomal Large Subunit Biogenesis (GO:0042273)",0.000535921315039817,22,47,9.12925741885735e-05,"GO_Biological_Process_2026",0.113672738929338,0.0225911082544141,"GC-driven"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",0.000637288202109237,15,34,0.0024751389583228,"GO_Biological_Process_2026",0.130512228700923,0.25344569437033,"n.s."
"GO_Biological_Process_2026::Actin Nucleation (GO:0045010)",0.000787099660693577,11,18,0.000297573484677951,"GO_Biological_Process_2026",0.155819496161972,0.0570093201774951,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Signal Transduction by P53 Class Mediator (GO:1901798)",0.000901280779207818,14,32,0.00375713990197003,"GO_Biological_Process_2026",0.172667953152104,0.314276815180282,"n.s."
"GO_Cellular_Component_2026::PML Body (GO:0016605)",0.000968542977594066,32,76,3.70959236047743e-05,"GO_Cellular_Component_2026",0.0449051744157249,0.00171990191258499,"GC-robust"
"GO_Biological_Process_2026::Inner Mitochondrial Membrane Organization (GO:0007007)",0.000994212736103493,17,36,0.000498984744758866,"GO_Biological_Process_2026",0.184519669991208,0.0871608940918502,"n.s."
"GO_Molecular_Function_2026::Ubiquitin-protein Transferase Inhibitor Activity (GO:0055105)",0.00102640502203786,9,15,0.00130986072416554,"GO_Molecular_Function_2026",1,0.443900897713339,"n.s."
"GO_Cellular_Component_2026::Cul2-RING Ubiquitin Ligase Complex (GO:0031462)",0.00113323922525487,12,22,0.000665901003174339,"GO_Cellular_Component_2026",0.0481626670733321,0.0188671950899396,"GC-robust"
"GO_Molecular_Function_2026::MRNA 5'-UTR Binding (GO:0048027)",0.00171772770749418,12,20,0.000199824245260204,"GO_Molecular_Function_2026",1,0.277156228175903,"n.s."
"GO_Cellular_Component_2026::U1 snRNP (GO:0005685)",0.00177850404414141,11,18,0.000297573484677951,"GO_Cellular_Component_2026",0.0678704825911741,0.0108401769418396,"GC-driven"
"GO_Cellular_Component_2026::Cytoplasmic Side of Rough Endoplasmic Reticulum Membrane (GO:0098556)",0.00195831049674625,5,6,0.00220906175889203,"GO_Cellular_Component_2026",0.0678704825911741,0.0536486427159492,"n.s."
"GO_Cellular_Component_2026::Asymmetric Synapse (GO:0032279)",0.0019961906644463,35,120,0.0274025738271882,"GO_Cellular_Component_2026",0.0678704825911741,0.317620742087863,"n.s."
"GO_Cellular_Component_2026::Rough Endoplasmic Reticulum Membrane (GO:0030867)",0.00213426414467167,6,9,0.00439736563181164,"GO_Cellular_Component_2026",0.0680296696114094,0.0934440196759973,"n.s."
"GO_Biological_Process_2026::Response to Interferon-Beta (GO:0035456)",0.002253147546117,13,27,0.00182230622203198,"GO_Biological_Process_2026",0.405498281102693,0.207042106600229,"n.s."
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)",0.00303405123641601,31,89,0.00237379284536674,"GO_Biological_Process_2026",0.529977361561019,0.247332556291808,"n.s."
"GO_Biological_Process_2026::Response to Interferon-Alpha (GO:0035455)",0.00315725189276903,10,20,0.00435692891552376,"GO_Biological_Process_2026",0.535740542604436,0.336049361419424,"n.s."
"GO_Molecular_Function_2026::Ubiquitin Ligase Inhibitor Activity (GO:1990948)",0.00327440383983693,7,12,0.00580770860587423,"GO_Molecular_Function_2026",1,0.554494231110565,"n.s."
"GO_Molecular_Function_2026::RAGE Receptor Binding (GO:0050786)",0.00330235297217509,6,9,0.00439736563181164,"GO_Molecular_Function_2026",1,0.554467830120249,"n.s."
"GO_Biological_Process_2026::RNA Processing (GO:0006396)",0.00336615841670549,92,305,0.000179935793480836,"GO_Biological_Process_2026",0.555322634355942,0.0395792102771364,"GC-driven"
"GO_Biological_Process_2026::Mitochondrial Electron Transport, Ubiquinol to Cytochrome C (GO:0006122)",0.003510324085974,7,12,0.00580770860587423,"GO_Biological_Process_2026",0.5634544526108,0.415566041087796,"n.s."
"GO_Biological_Process_2026::Establishment of Protein Localization to Endoplasmic Reticulum (GO:0072599)",0.00377592403594794,10,16,0.00044058934287658,"GO_Biological_Process_2026",0.577731818091571,0.0817706283545002,"n.s."
"GO_Biological_Process_2026::Endocytic Recycling (GO:0032456)",0.00379382739612246,30,82,0.00114618088841863,"GO_Biological_Process_2026",0.577731818091571,0.141816006173297,"n.s."
"GO_Biological_Process_2026::Maturation of LSU-rRNA (GO:0000470)",0.00391509397815053,13,25,0.0007281273402607,"GO_Biological_Process_2026",0.5812935784059,0.108108706845208,"n.s."
"GO_Cellular_Component_2026::MICOS Complex (GO:0061617)",0.00424713137379367,5,8,0.0139836035556599,"GO_Cellular_Component_2026",0.124444222395565,0.187674679299647,"n.s."
"GO_Cellular_Component_2026::Eukaryotic 43S Preinitiation Complex (GO:0016282)",0.00439214902572583,5,5,0.000447966568978726,"GO_Cellular_Component_2026",0.124444222395565,0.0152308633452767,"GC-driven"
"GO_Biological_Process_2026::Ribosome Assembly (GO:0042255)",0.00439642166480459,15,37,0.00651453892432441,"GO_Biological_Process_2026",0.617654619393667,0.426855578823991,"n.s."
"GO_Biological_Process_2026::Post-Golgi Vesicle-Mediated Transport (GO:0006892)",0.00442821440216687,19,43,0.000671937984970719,"GO_Biological_Process_2026",0.617654619393667,0.108108706845208,"n.s."
"GO_Biological_Process_2026::Regulation of Macroautophagy (GO:0016241)",0.00447199000402891,36,106,0.00184765644886549,"GO_Biological_Process_2026",0.617654619393667,0.207042106600229,"n.s."
"GO_Cellular_Component_2026::Mitochondrial Intermembrane Space (GO:0005758)",0.00481544917895358,23,66,0.0081179669204287,"GO_Cellular_Component_2026",0.125149501355624,0.138005437647288,"n.s."
"GO_Cellular_Component_2026::Focal Adhesion (GO:0005925)",0.00490782358257351,84,344,0.0956058019135946,"GO_Cellular_Component_2026",0.125149501355624,0.606348763001107,"n.s."
"GO_Biological_Process_2026::Cellular Response to Insulin Stimulus (GO:0032869)",0.00583283070288921,31,90,0.00289187611731609,"GO_Biological_Process_2026",0.771803272594022,0.270984343031228,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Double-Strand Break Repair (GO:2000781)",0.0058479789975974,34,94,0.000705486917922557,"GO_Biological_Process_2026",0.771803272594022,0.108108706845208,"n.s."
"GO_Cellular_Component_2026::Cell-substrate Junction (GO:0030055)",0.0059636418888341,85,349,0.0986802888805723,"GO_Cellular_Component_2026",0.144831303014543,0.606348763001107,"n.s."
"GO_Biological_Process_2026::Protein Localization to Organelle (GO:0033365)",0.00684297410395887,47,151,0.00322822655117274,"GO_Biological_Process_2026",0.883487460943733,0.290491477082044,"n.s."
"GO_Cellular_Component_2026::SAM Complex (GO:0001401)",0.00693034823571059,7,12,0.00580770860587423,"GO_Cellular_Component_2026",0.160658072736927,0.115022077403147,"n.s."
"GO_Cellular_Component_2026::U2-type Catalytic Step 2 Spliceosome (GO:0071007)",0.00824008400929168,15,30,0.000495199480575755,"GO_Cellular_Component_2026",0.177801074983327,0.0157844834433522,"GC-driven"
"GO_Cellular_Component_2026::Mitochondrial Outer Membrane Translocase Complex (GO:0005742)",0.00836710941098011,10,22,0.0100204561508596,"GO_Cellular_Component_2026",0.177801074983327,0.149748701068539,"n.s."
"GO_Biological_Process_2026::Mitochondrial Membrane Organization (GO:0007006)",0.00842592903404477,11,27,0.0180156250793908,"GO_Biological_Process_2026",1,0.636873793729179,"n.s."
"GO_Biological_Process_2026::Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)",0.00849596550396176,30,80,0.000718244568366144,"GO_Biological_Process_2026",1,0.108108706845208,"n.s."
"GO_Biological_Process_2026::TRNA Aminoacylation (GO:0043039)",0.00969354479723679,13,28,0.00274184583443251,"GO_Biological_Process_2026",1,0.270984343031228,"n.s."
"GO_Molecular_Function_2026::Cysteine-type Endopeptidase Inhibitor Activity (GO:0004869)",0.00971904815592385,8,13,0.00197699743208767,"GO_Molecular_Function_2026",1,0.443900897713339,"n.s."
"GO_Cellular_Component_2026::Postsynaptic Density (GO:0014069)",0.00974159026055783,39,155,0.147394961858586,"GO_Cellular_Component_2026",0.192603812774145,0.743878732520404,"n.s."
"GO_Cellular_Component_2026::MIB Complex (GO:0140275)",0.00981901790613288,7,13,0.0102768716419586,"GO_Cellular_Component_2026",0.192603812774145,0.149748701068539,"n.s."
"GO_Biological_Process_2026::Positive Regulation of DNA-templated Transcription (GO:0045893)",0.0101038688477059,236,1044,0.171539003816751,"GO_Biological_Process_2026",1,1,"n.s."
"GO_Biological_Process_2026::Modification-dependent Macromolecule Catabolic Process (GO:0043632)",0.0102408364460563,6,13,0.0408020638382903,"GO_Biological_Process_2026",1,0.900795141760634,"n.s."
"GO_Biological_Process_2026::Cristae Formation (GO:0042407)",0.010339278558423,7,14,0.0168029310659519,"GO_Biological_Process_2026",1,0.601160286751133,"n.s."
"GO_Biological_Process_2026::Regulation of Cellular Senescence (GO:2000772)",0.0105571390806056,14,34,0.00720689875660003,"GO_Biological_Process_2026",1,0.445851788702579,"n.s."
"GO_Molecular_Function_2026::Supercoiled DNA Binding (GO:0097100)",0.0105638910748153,5,6,0.00220906175889203,"GO_Molecular_Function_2026",1,0.443900897713339,"n.s."
"GO_Molecular_Function_2026::Peptidase Activator Activity (GO:0016504)",0.0111010613274014,13,33,0.0143808313225365,"GO_Molecular_Function_2026",1,0.785602255762453,"n.s."
"GO_Biological_Process_2026::Cellular Response to Interferon-Beta (GO:0035458)",0.011213476443167,10,20,0.00435692891552376,"GO_Biological_Process_2026",1,0.336049361419424,"n.s."
"GO_Biological_Process_2026::Protein Polyubiquitination (GO:0000209)",0.0117028503785421,68,229,0.00184178277064656,"GO_Biological_Process_2026",1,0.207042106600229,"n.s."
"GO_Biological_Process_2026::Recombinational Repair (GO:0000725)",0.0117641528820997,40,105,6.81134035197115e-05,"GO_Biological_Process_2026",1,0.0175880653697203,"GC-driven"
"GO_Molecular_Function_2026::Acetyl-CoA C-acyltransferase Activity (GO:0003988)",0.0119649777019884,5,7,0.00636302124042868,"GO_Molecular_Function_2026",1,0.554494231110565,"n.s."
"GO_Biological_Process_2026::Respiratory Electron Transport Chain (GO:0022904)",0.0120398863170461,7,11,0.00296581618067516,"GO_Biological_Process_2026",1,0.270984343031228,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Mitochondrial Fission (GO:0090141)",0.0124086954596096,9,18,0.00679625229191032,"GO_Biological_Process_2026",1,0.429393003847398,"n.s."
"GO_Biological_Process_2026::Intraciliary Transport Involved in Cilium Assembly (GO:0035735)",0.0131022320396542,6,7,0.000547477966277362,"GO_Biological_Process_2026",1,0.0928991897634643,"n.s."
"GO_Biological_Process_2026::Adrenergic Receptor Signaling Pathway (GO:0071875)",0.0132184361508308,6,10,0.00900890478030094,"GO_Biological_Process_2026",1,0.482016986398264,"n.s."
